,Country,Track Name,Artist Name,Album Name,Popularity,Date,Markets,Danceability,Acousticness,duration,Energy,Instrumentalness,Key,Liveness,Loudness,Mode,Speechiness,Tempo,TSignature,Positiveness
1046,SVK,Ujde to,Viktor Sheen,Planeta opic,63,2023-10-13,AR,0.822,0.238,202667,0.531,2.39e-06,0,0.0859,-12.135,0,0.387,135.083,4,0.418
1028,SVK,VZHŮRU CELOU NOC,P T K,SILENT KILL,61,2023-10-01,AR,0.871,0.196,180000,0.666,0.00833,6,0.177,-6.538,0,0.215,79.993,4,0.431
1024,SVK,Valeriya,Samey,Slzy Ulic,55,2023-02-02,AR,0.657,0.0544,120828,0.572,8.71e-05,11,0.25,-6.489,0,0.362,145.064,4,0.665
1010,SVK,Vois sur ton chemin - Techno Mix,BENNETT,Vois sur ton chemin (Techno Mix),91,2023-08-04,AR,0.634,0.0908,178156,0.824,0.0711,2,0.119,-3.394,0,0.047,137.959,4,0.371
1018,SVK,Vyjebala Rešpekt,Separ,Pancier,51,2017-06-26,AR,0.583,0.0388,287333,0.763,0.0,9,0.187,-4.756,1,0.264,89.631,4,0.432
1032,SVK,WHO (feat. P T K),Viktor Sheen,Planeta opic,65,2023-10-13,AR,0.874,0.0192,171429,0.568,1.54e-06,8,0.103,-12.307,1,0.317,146.961,4,0.689
1022,SVK,ecstacy (slowed),SUICIDAL-IDOL,ecstacy (slowed),90,2023-06-06,AR,0.551,0.0173,119120,0.677,0.0,2,0.381,-7.311,1,0.0665,106.414,4,0.195
1036,SVK,fukumean,Gunna,a Gift & a Curse,95,2023-06-16,AR,0.847,0.119,125040,0.622,0.0,1,0.285,-6.747,0,0.0903,130.001,4,0.22
1004,SVK,greedy,Tate McRae,greedy,100,2023-09-15,AR,0.75,0.256,131872,0.733,0.0,6,0.114,-3.18,0,0.0319,111.018,1,0.844
1006,SVK,mamaididit,Luca Brassi10x,mamaididit,55,2023-10-20,AR,0.711,0.0205,207911,0.362,0.00266,1,0.244,-11.929,1,0.326,85.878,4,0.469
1007,SVK,Šedá Hus,Gleb,Šedá Hus,60,2023-05-18,AR,0.755,0.215,168000,0.632,0.0,7,0.323,-6.392,1,0.0779,119.784,4,0.382
1107,USA,"""Slut!"" (Taylor's Version) (From The Vault)",Taylor Swift,1989 (Taylor's Version),91,2023-10-26,AR,0.629,0.345,180381,0.413,7.62e-05,7,0.0603,-13.178,1,0.055,77.983,4,0.306
1114,USA,500lbs,Lil Tecca,TEC,83,2023-09-22,AR,0.722,0.0942,144390,0.785,0.0,7,0.119,-5.451,0,0.0763,122.986,4,0.529
1109,USA,Agora Hills,Doja Cat,Scarlet,82,2023-09-20,AR,0.755,0.183,265360,0.687,0.000177,8,0.125,-6.247,0,0.101,123.01,4,0.381
